name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
raipur chhattisgarh,2025-08-15T07:00:00,26.3,26.3,23.6,85.12,0,90.3,rain,0,0,12.2,6.5,92,1001,45.8,23.5,30,0.1,0,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-15T08:00:00,27.3,30.3,23.6,80.26,0.7,90.3,rain,0,0,12.6,9.4,93.2,1002,59.7,5.3,207,0.7,2,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-15T09:00:00,28.2,32,23.8,77.07,2.1,90.3,rain,0,0,13.3,10.8,89.1,1002,28.5,17.2,434,1.6,4,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-15T10:00:00,29.2,33.6,23.8,72.72,1.4,90.3,rain,0,0,12.2,10.1,70.8,1002,16.4,22.9,639,2.3,6,30,Rain,rain,
raipur chhattisgarh,2025-08-15T11:00:00,30.3,35.2,23.8,68.26,0.8,90.3,rain,0,0,12.2,10.8,58.8,1001,55.1,16,807,2.9,8,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-15T12:00:00,31.3,36.6,23.8,64.47,0.5,90.3,rain,0,0,12.2,10.4,56.3,1001,93.5,16.7,866,3.1,9,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-15T13:00:00,31.9,37.3,23.7,61.93,0.8,90.3,rain,0,0,13,11.2,54.4,1000,100,24.1,841,3,8,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-15T14:00:00,31.6,36.9,23.7,63,1.4,90.3,rain,0,0,13.7,11.9,64.4,999,99.3,23.2,626,2.3,6,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-15T15:00:00,31.9,37.4,23.8,62.31,1.4,90.3,rain,0,0,13,10.8,84.7,998,91.1,24.1,787,2.8,8,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-15T16:00:00,31.7,37,23.7,62.64,1.5,90.3,rain,0,0,12.6,10.8,93.2,997,91.4,24.1,648,2.3,6,30,"Rain, Overcast",rain,
